soil_ph,soil_moisture,soil_temperature,total_N,fertilizer_type,nh3,log_nh3,log_totalN,Ref
6.5,30,5.1,111.2,1,9,2.197224577,4.711330382,ALFAM21
8,20.2,16.9,164,1,8.9,2.186051277,5.099866428,ALFAM21
5.8,23,19.8,109.6,1,8.9,2.186051277,4.696837375,ALFAM21
6.1,40,2.7,120,1,8.9,2.186051277,4.787491743,Gericke et al.14
6.1,26.9,9.9,110.9,1,8.9,2.186051277,4.708628894,ALFAM21
6.5,17,20.8,115.3,1,8.8,2.174751721,4.747537427,ALFAM21
8,29.6,6.2,66.3,1,8.8,2.174751721,4.194189897,ALFAM21
6.1,40,2.7,120,1,8.8,2.174751721,4.787491743,Gericke et al.14
8,20.2,16.8,89.4,1,8.7,2.163323026,4.493120682,ALFAM21
5.8,10,12.1,127.8,1,8.7,2.163323026,4.850466542,ALFAM21
6.1,50,14.3,100,1,8.7,2.163323026,4.605170186,Salazar et al.7
5.8,31,5.8,167.4,1,8.6,2.151762203,5.120386158,ALFAM21
7.2,20.4,21.6,130.3,1,8.6,2.151762203,4.869839484,ALFAM21
5.8,23,8.8,188.4,1,8.6,2.151762203,5.238567362,ALFAM21
6.5,30,5.1,111.2,1,8.6,2.151762203,4.711330382,ALFAM21
7.1,28.3,16.1,102,1,8.6,2.151762203,4.624972813,ALFAM21
6.5,40,8,140,1,8.5,2.140066163,4.941642423,Ni et al.16
8,28.5,9.8,126.1,1,8.5,2.140066163,4.837075243,ALFAM21
7.1,30,15,44,1,8.5,2.140066163,3.784189634,Häni et al.9
5.8,10,12.2,157.4,1,8.4,2.128231706,5.058790336,ALFAM21
6.5,21,23,143.4,1,8.4,2.128231706,4.965637928,ALFAM21
6.1,23,10.7,157.6,1,8.4,2.128231706,5.060060177,ALFAM21
6.5,17,20.4,95.5,1,8.4,2.128231706,4.559126247,ALFAM21
5.8,23,19.9,73,1,8.4,2.128231706,4.290459441,ALFAM21
6.1,28.3,9.9,121.8,1,8.4,2.128231706,4.802380355,ALFAM21
7.1,30,16,54,1,8.3,2.116255515,3.988984047,Häni et al.9
7.1,26.6,12.5,130.7,1,8.3,2.116255515,4.872904621,ALFAM21
5.8,10,12.1,54.8,1,8.2,2.104134154,4.003690194,ALFAM21
6.1,24.2,10.7,116.3,1,8.2,2.104134154,4.75617306,ALFAM21
5.8,28,14.6,177.5,1,8.1,2.091864062,5.178970609,ALFAM21
6.1,30,19.2,140.1,1,8.1,2.091864062,4.942356453,ALFAM21
6.9,30,19,59.8,1,8.1,2.091864062,4.091005661,Häni et al.9
6.5,17,20.8,115.3,1,8.1,2.091864062,4.747537427,ALFAM21
8,25.2,12,87.3,1,8,2.079441542,4.469350463,ALFAM21
7,10.8,12.8,76.8,1,8,2.079441542,4.34120464,ALFAM21
6.1,24.2,10.7,116.3,1,8,2.079441542,4.75617306,ALFAM21
7.2,30.6,10.5,110.1,1,7.9,2.066862759,4.701389044,ALFAM21
6.5,40,17,110,0,7.8,2.054123734,4.700480366,Ni et al.16
6.5,17,20.8,191.8,1,7.8,2.054123734,5.256453162,ALFAM21
5.8,31,15.3,178.3,1,7.8,2.054123734,5.183467525,ALFAM21
6.1,30,19.2,140.5,1,7.8,2.054123734,4.945207489,ALFAM21
7.3,30,14,64,1,7.7,2.041220329,4.158883083,Häni et al.9
6.4,42.6,10,100,0,7.7,2.041220329,4.605170186,Salazar et al.6
5.8,10,12.1,73,1,7.7,2.041220329,4.290459441,ALFAM21
6.5,30,5.1,111.2,1,7.7,2.041220329,4.711330382,ALFAM21
5.8,23,19.9,91.3,1,7.7,2.041220329,4.514150788,ALFAM21
5.8,23,19.9,91.3,1,7.7,2.041220329,4.514150788,ALFAM21
6.5,40,8,140,1,7.7,2.041220329,4.941642423,Ni et al.16
5.8,10,12.1,124.6,1,7.6,2.028148247,4.825108606,ALFAM21
5.8,10,16.9,52.9,1,7.6,2.028148247,3.968403339,ALFAM21
5.8,31,5.3,170.7,1,7.6,2.028148247,5.13990763,ALFAM21
6.1,40,5.3,120,1,7.6,2.028148247,4.787491743,Gericke et al.14
5.3,50,9.4,100,1,7.6,2.028148247,4.605170186,Martínez-Lagos et al.11
6.5,28,2.2,124.2,1,7.6,2.028148247,4.821893169,ALFAM21
5.8,10,12.3,74.7,1,7.6,2.028148247,4.313480092,ALFAM21
6.5,30,4.4,130,1,7.6,2.028148247,4.86753445,ALFAM21
5.8,23,8.9,188.4,1,7.6,2.028148247,5.238567362,ALFAM21
7.1,28.8,12.1,110.1,1,7.5,2.014903021,4.701389044,ALFAM21
6.1,40,18.5,80,1,7.5,2.014903021,4.382026635,Gericke et al.14
7,12,12.8,83.6,1,7.5,2.014903021,4.42604352,ALFAM21
7.8,100,0.3,109.1,1,7.5,2.014903021,4.692264893,ALFAM21
6.5,30,4.6,89,1,7.4,2.00148,4.48863637,ALFAM21
5.8,10,12.3,74.7,1,7.4,2.00148,4.313480092,ALFAM21
7.3,30,2,67.5,1,7.3,1.987874348,4.212127598,Häni et al.9
6.5,30,5,111.2,1,7.3,1.987874348,4.711330382,ALFAM21
6.1,40,5.3,120,1,7.3,1.987874348,4.787491743,Gericke et al.14
6.1,50,10.6,100,1,7.3,1.987874348,4.605170186,Salazar et al.7
6.5,30,4.7,89,1,7.3,1.987874348,4.48863637,ALFAM21
5.8,23,19.8,73,1,7.3,1.987874348,4.290459441,ALFAM21
6.5,40,17,110,0,7.3,1.987874348,4.700480366,Ni et al.16
6.5,30,4.5,130,1,7.2,1.974081026,4.86753445,ALFAM21
5.8,10,12.1,73,1,7.2,1.974081026,4.290459441,ALFAM21
5.6,41,14,160.4,1,7.2,1.974081026,5.077670695,ALFAM21
6.1,40,18.5,80,1,7.1,1.960094784,4.382026635,Gericke et al.14
