"SpCode","Taxa","Sp_CommonName","Sp_ScientificName","Fam_CommonName","FMP","FMP_BSAI","FMP_GOA","FMP_Arctic","FMP_Salmon","Fam_ScientificName"
"ROCKRED","Fish","Redstripe rockfish","Sebastes proriger","rockfishes",1,1,1,0,0,"Scorpaenidae"
"ROCKRUF","Fish","Rougheye rockfish","Sebastes aleutianus","rockfishes",1,1,1,0,0,"Scorpaenidae"
"ROCKSIL","Fish","Silvergray rockfish","Sebastes brevispinis","rockfishes",1,0,1,0,0,"Scorpaenidae"
"ROCKTIGR","Fish","Tiger rockfish","Sebastes nigrocinctus","rockfishes",1,0,0,0,0,"Scorpaenidae"
"ROCKYEL","Fish","Yelloweye rockfish","Sebastes ruberrimus","rockfishes",1,1,1,0,0,"Scorpaenidae"
"ROCKYT","Fish","Yellowtail rockfish","Sebastes flavidus","rockfishes",1,0,1,0,0,"Scorpaenidae"
"RONQLAK","Fish","Alaskan ronquil","Bathymaster caeruleofasciatus","ronquils",0,0,0,0,0,"Bathymasteridae"
"RONQLNOR","Fish","Northern ronquil","Ronquilus jordani","ronquils",0,0,0,0,0,"Bathymasteridae"
"RONQLSM","Fish","Smallmouth ronquil","Bathymaster leurolepis","ronquils",0,0,0,0,0,"Bathymasteridae"
"SABLEF","Fish","Sablefish","Anoplopoma fimbria","sablefishes",1,1,1,0,0,"Anoplopomatidae"
"SALCHIN","Fish","Chinook salmon","Oncorhynchus tshawytscha","trouts and salmons",1,0,0,0,1,"Salmonidae"
"SALCHUM","Fish","Chum salmon","Oncorhynchus keta","trouts and salmons",1,0,0,0,1,"Salmonidae"
"SALCOHO","Fish","Coho salmon","Oncorhynchus kisutch","trouts and salmons",1,0,0,0,1,"Salmonidae"
"SALPINK","Fish","Pink salmon","Oncorhynchus gorbuscha","trouts and salmons",1,0,0,0,1,"Salmonidae"
"SALSOCK","Fish","Sockeye salmon","Oncorhynchus nerka","trouts and salmons",1,0,0,0,1,"Salmonidae"
"SANDFSHP","Fish","Pacific sandfish","Trichodon trichodon","sandfishes",0,0,0,0,0,"Trichodontidae"
"SANDLNCA","Fish","Arctic sand lance","Ammodytes hexapterus","sandlances",0,0,0,0,0,"Ammodytidae"
"SANDLNCP","Fish","Pacific sand lance","Ammodytes personatus","sandlances",0,0,0,0,0,"Ammodytidae"
"SCUL2HRN","Fish","Twohorn sculpin","Icelus bicornis","sculpins",0,0,0,0,0,"Cottidae"
"SCUL4HRN","Fish","Fourhorn sculpin","Myoxocephalus quadricornis","sculpins",0,0,0,0,0,"Cottidae"
"SCULANT","Fish","Antlered sculpin","Enophrys diceraus","sculpins",0,0,0,0,0,"Cottidae"
"SCULARC","Fish","Arctic sculpin","Myoxocephalus scorpioides","sculpins",0,0,0,0,0,"Cottidae"
